product,effective_date,entry_date,selected_contract,cum_increase_pct,trailing_return,trailing_vol,cluster_week,completeness_fallback,included_flag,exclusion_reason
SI,2020-01-09,2020-01-09,202003,0.05769230769230771,0.045098966608628076,0.21078201955441347,2020-W02,False,True,
SI,2020-03-03,2020-03-03,202005,0.09090909090909083,-0.06069473083598874,0.27817796093447106,2020-W10,False,True,
SI,2020-03-17,2020-03-17,202005,0.16666666666666674,-0.38695095854402095,0.5999339750951588,2020-W12,False,True,
SI,2020-07-24,2020-07-24,202009,0.125,0.19741953452612718,0.40708154343567626,2020-W30,False,True,
SI,2020-08-07,2020-08-07,202009,0.1499999999999999,0.36874233299866715,0.5081977473904629,2020-W32,False,True,
SI,2020-10-02,2020-10-02,202012,0.13207547169811318,-0.10197655818468505,0.5356722172740386,2020-W40,False,True,
SI,2020-10-16,2020-10-16,202012,0.1333333333333333,0.03362538780253362,0.4276588179916188,2020-W42,False,True,
SI,2021-02-02,2021-02-02,202105,0.1785714285714286,,,2021-W05,False,False,selected contract missing 19 of 33 window days
SI,2022-10-05,2022-10-05,202212,0.1333333333333333,0.1184177548144744,0.47129371100956957,2022-W40,False,True,
SI,2023-03-14,2023-03-14,202305,0.11764705882352944,-0.017059437937864203,0.3389348818090606,2023-W11,False,True,
SI,2023-12-15,2023-12-15,202403,0.125,0.00020688941834426903,0.31278994938710464,2023-W50,False,True,
SI,2024-03-08,2024-03-08,202405,0.0625,0.07050819990373337,0.25073586076254795,2024-W10,False,True,
ZN,2004-04-07,2004-04-07,200406,0.13043478260869557,-0.026846791508314708,0.0784204753238211,2004-W15,False,True,
ZN,2006-06-06,2006-06-06,200609,0.08333333333333326,0.006375586871617053,0.045543523413845606,2006-W23,False,True,
ZN,2006-11-08,2006-11-08,200612,0.08333333333333326,0.00988236497779566,0.043534703413013985,2006-W45,False,True,
ZN,2007-03-01,2007-03-01,200706,0.15384615384615374,0.01741698599400196,0.042787933977191855,2007-W09,False,True,
ZN,2007-06-15,2007-06-15,200709,0.07692307692307687,-0.02623584524046791,0.041656994749172054,2007-W24,False,True,
